station_id,station_name,mean_fsq_rating,mean_popularity,mean_price,total_bikes,count_POIs
7b86c3cb9e951b53e8b8405c7abfae6c,ASU Orange St - S McAllister Mall (Virtual Hub),7.1909090909090905,0.9504842995514158,1.2666666666666666,6,21
7de6db79ad7d459e1705ecbdec3e55dd,P111 Central and Monroe,7.800000000000001,0.9080798434949217,1.829268292682927,10,49
80a8e77e11d0ff463c25a24317f99c62,P149 Central Ave / Campbell Ave,8.379999999999999,0.9596910091274845,1.8571428571428572,10,8
814c02006aa1d3d4ce9393369480a0b5,P113 11th St. / Washington St,7.6,0.9456770176544766,2.0,10,2
8764b6c7d3cf8ec6f3af4b1998848eed,T08 Apache Blvd / Price Rd,,,,10,1
89cd68040357367519e7f9fb22605aba,P104 Jackson St / 2nd St (Sponsored by SRP),7.8047619047619055,0.8839950650981173,1.6666666666666667,10,48
8bb2684fefe4f9dee842b261ff012054,ASU Hayden Library - Cady Mall (Virtual Hub),7.130769230769231,0.9473794489366364,1.2941176470588236,6,22
8d29ea89964d1eb73171310f718fe7e5,P196 2nd St. and Roosevelt,8.245833333333334,0.9291706073980665,1.8,9,50
8d471dd8f237c8df64f337a5b5d5cac7,T10 Washington St / Priest Dr,5.75,0.9710467918130994,1.3333333333333333,10,5
901440f4daab43ac6319ecbac2cada7f,P139 Central Ave / Vernon Ave,7.685714285714285,0.8917087011349306,1.5454545454545454,9,14
943e82b182ac7e37bb201d37d81b5982,P172 4th Street / Jackson St ,7.609999999999999,0.7735932527172281,1.5555555555555556,10,35
944d8ce85d57b96acd0e62cc90eb34a5,T06 McClintock Dr / Rio Salado Pkwy,7.566666666666666,0.9452678239786442,1.4285714285714286,10,8
964777a6d0d3f562402c2e034894f5b2,T26 ASU Memorial Union,7.040000000000001,0.9344600321913958,1.1666666666666667,23,9
9be3ff8f22f184a0781c655b409bfbe6,P123 5th Ave / Fillmore St,7.633333333333334,0.9486897454442054,1.3125,10,21
9bfb8943c0a8a2923493d93ce47d9f64,T16 Apache Blvd / Rural Rd,6.81875,0.9586631046601332,1.2916666666666667,12,32
9bfffb60c52fe8e90b3172d6c2c3fb9e,P137 12th St / Oak St,,,,10,1
9eb453aa5d4305d8913174345a2bb191,P118 Encanto Park (Enchanted Island),,,,20,1
9fa74a170def60f5ba3c94e8e750de8a,T25 University Dr. / ASU Student Housing,7.15,0.846439422078726,1.5,18,22
a115d3ad3020bf7f6e22a372084871e8,T12 Rural Rd / Southern Ave,7.449999999999999,0.97595645589874,1.0,5,2
a397e7e6ce14fe9e8ac9bcc1099323e0,P119 Grant St / 3rd St. ,7.9,0.8590757963196487,1.25,10,9
a702bd5692851de367b7b948ef6696d2,P114 Adams St / 2nd Ave (City Hall),7.775862068965517,0.902207393395918,1.8333333333333333,11,50
a729c7bc4d432d61c6ea42c2a20e197a,T14 College Ave / University Dr,7.610526315789474,0.8943233542936392,1.4166666666666667,5,29
b0a839636f0f4d1a01154becbf864927,P180 Adams and 17th Ave.,7.15,0.9542533627574612,1.2,15,6
b0f5f965c9915598a943722e2f7528fb,T03 Rural Rd / Terrace Rd,7.41875,0.8969014878257605,1.44,11,36
b4a727c596bab892789d6e3c955aad52,P154 Central Ave / Thomas Rd,7.385,0.8706844753827171,1.5517241379310345,10,33
b953cdb6c1721e12c870e32cb780998c,ASU Goldwater Ctr. for Science - Tyler Mall (Virtual Hub),6.955555555555556,0.8659236417743804,1.3333333333333333,6,15
ba402392fffdaea52a19f2c4846572d4,P134 Central Ave / McDowell Rd (Phoenix Art Museum),7.4875,0.9373143477651674,1.6363636363636365,8,18
bccbc42037d855d46ef243ea5196771f,P116 6th St. / Monroe St (Sponsored by SRP),7.290000000000001,0.9404482893077586,1.8888888888888888,9,21
bcec7984130804fb8e3ceea8c4ed2061,P124 3rd St / Taylor St (Sponsored by APS),7.722222222222222,0.95460301752993,1.9230769230769231,12,29
c0932901743359c499780029d8549433,P133 5th Ave / McDowell Rd,7.538461538461538,0.9072318989071038,1.4666666666666666,20,16
c1b890c63cf0a734dca62f21afc42b5d,P120 Central Ave / Taylor St,7.803999999999999,0.9029499189335255,1.878787878787879,12,38
c570a5983692409ebe2a875d8dce60d2,P107 17th Ave. and Jefferson St. ,7.55,0.9753408732660781,1.0,12,3
ca3c266b8f2edd0a617d2626768774eb,P141 Phoenix College,8.25,0.9595910834384195,1.5,10,5
cac663c57dee1dafd5f152bb906e97d5,P211 10th St / Pierce,8.700000000000001,0.7924626944094156,1.2,6,5
cb4373b3cc89e041a72730400204f509,P115 Adams and 2nd Street ,7.72258064516129,0.8996041563864977,1.8636363636363635,7,50
cbd70de9bd46949f297f5d332a93f951,P112 3rd St / Washington St (Convention Center),7.744827586206896,0.9381535809945551,1.853658536585366,7,49
ccfd57f453bbdacff8a335974083d103,P140 8th St / Sheridan St,8.2,0.8995710573579426,1.6363636363636365,10,12
ce9511579a675c959184e01c7bbee502,P161 5th Ave / Roosevelt St,7.98888888888889,0.9560897435897435,1.6923076923076923,12,15
d0c1a936f1125c6af6a566c4da5aeb82,ASU Business Administration Building (Virtual Hub),7.0,0.9487442498357096,1.2222222222222223,5,13
d334f65221f6a681f8b03433f36e2075,T19 Kiwanis Park,,,,9,1
d3831f612cd0217c8e0966041b38625b,P132 10th St / Roosevelt St,8.18,0.8468781901158949,1.1428571428571428,10,7
d442d37ff6ef724e22dad67d3ca21925,P159 Sherman St / 3rd Ave.,7.775,0.9461925966792769,1.2,15,6
d7143785593ae4ee8ac8740dc7793b07,T21 Forest Ave/ Lemon St. (Gammage),7.266666666666667,0.955341581188034,1.1428571428571428,20,10
deb09562cebdde49d1c7d00a324464d9,7th St. / Garfield St,7.907692307692307,0.8976689260193358,1.5,2,29
df002b527adfa25353ad90b1d55c947e,T22 Baseline Rd / Priest Dr,6.3,0.87455395550984,1.2857142857142858,9,14
e13f4ac220b91769275c7b1891b3db05,P210 18th St. & Washington ,6.75,0.9570118747372847,1.0,10,5
e1ec743fb3c7d5e32445a9e8c477fbd5,T28 Rio Salado Pkwy / Mill Ave,8.0,0.9793136946769907,2.0,10,5
e3dc78681e43549bbbcb2524946e007a,T02 3rd St / Mill Ave,7.551724137931035,0.8971620617731935,1.6176470588235294,9,43
e551f00bfcdd21fd2357ca41a4dae611,P121 5th St / Van Buren St (Sponsored by APS),7.31,0.9474167346636007,1.8125,14,20
e8957e99332a66bd23650bc04b0c321e,Secret Warehouse,8.1,0.9838035939470364,1.0,9886,1
e8ea2c46e05597b2b23d1c3b0ced3e8d,T29 Tempe Town Lake Marina,,0.9431793289332076,1.6666666666666667,9,4
eafc61cf384a9311bc8f8f25f1b3efc6,T13 College Ave / Apache Blvd,7.075,0.9452327209348838,1.2,12,8
ebb4ed2cfc9d563f8f15f9861a3ebccf,P150 Central Ave / Camelback Rd (Sponsored by SRP),7.834999999999999,0.9445322595083524,1.6538461538461537,17,32
f193ecdd21dfcfc39f691e353345c3a9,P148 Central Ave / Glenrosa Ave (Sponsored by SRP),7.92,0.9647107503152584,2.0,10,7
f46a84ba614d9c9aba02706e5b7825b3,P147 7th Ave / Glenrosa Ave,7.685714285714285,0.9164272672341319,1.6,10,23
